00:00.781  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\carrier-v25\chunkbuster-v25.blend"
16:21:42 | INFO: Data are loaded, start creating Blender stuff
16:21:42 | INFO: Blender create Mesh node ArmoredProwWedge.001
16:21:42 | INFO: Blender create Mesh node Cube.283
16:21:42 | INFO: Blender create Mesh node Cube.284
16:21:42 | INFO: Blender create Mesh node Cube.288
16:21:42 | INFO: Blender create Mesh node Cube.289
16:21:42 | INFO: Blender create Mesh node Cube.266
16:21:42 | INFO: Blender create Mesh node Cube.267
16:21:42 | INFO: Blender create Mesh node Cube.271
16:21:42 | INFO: Blender create Mesh node Cube.272
16:21:42 | INFO: Blender create Mesh node Cube.279
16:21:42 | INFO: Blender create Mesh node Cube.262
16:21:42 | INFO: Blender create Mesh node Cube.295
16:21:42 | INFO: Blender create Mesh node Cube.278
16:21:42 | INFO: Blender create Mesh node CentralEmitterArmoredDrum.001
16:21:42 | INFO: Blender create Mesh node CentralLoadBearingHull.001
16:21:42 | INFO: Blender create Mesh node Cylinder.120
16:21:42 | INFO: Blender create Mesh node ContinuousKeelGirder.001
16:21:42 | INFO: Blender create Mesh node Cube.368
16:21:42 | INFO: Blender create Mesh node Cube.369
16:21:42 | INFO: Blender create Mesh node Cube.370
16:21:42 | INFO: Blender create Mesh node Cube.371
16:21:42 | INFO: Blender create Mesh node Cylinder.190
16:21:42 | INFO: Blender create Mesh node Cylinder.188
16:21:42 | INFO: Blender create Mesh node Cylinder.186
16:21:42 | INFO: Blender create Mesh node Cylinder.184
16:21:42 | INFO: Blender create Mesh node Cylinder.182
16:21:42 | INFO: Blender create Mesh node Cylinder.180
16:21:42 | INFO: Blender create Mesh node AFT_CassetteGasket.007
16:21:42 | INFO: Blender create Mesh node AFT_CassetteGasket.005
16:21:42 | INFO: Blender create Mesh node Cylinder.178
16:21:42 | INFO: Blender create Mesh node Cylinder.176
16:21:42 | INFO: Blender create Mesh node AFT_FastenerSlot.023
16:21:42 | INFO: Blender create Mesh node AFT_FastenerSlot.021
16:21:42 | INFO: Blender create Mesh node AFT_FastenerSlot.019
16:21:42 | INFO: Blender create Mesh node AFT_FastenerSlot.017
16:21:42 | INFO: Blender create Mesh node AFT_FastenerSlot.015
16:21:42 | INFO: Blender create Mesh node AFT_FastenerSlot.013
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_00.008
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_00.006
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_01.008
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_01.006
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_02.008
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_02.006
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_03.008
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_03.006
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_04.008
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_04.006
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_05.008
16:21:42 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_05.006
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_00.007
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_00.005
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_01.007
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_01.005
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_02.007
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_02.005
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_03.007
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_03.005
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_04.007
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_04.005
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_05.007
16:21:42 | INFO: Blender create Mesh node AFT_LouverEdge_05.005
16:21:42 | INFO: Blender create Mesh node AFT_ReleaseLatch.008
16:21:42 | INFO: Blender create Mesh node AFT_ReleaseLatch.006
16:21:42 | INFO: Blender create Mesh node AFT_ServiceCassette.008
16:21:42 | INFO: Blender create Mesh node AFT_ServiceCassette.006
16:21:42 | INFO: Blender create Mesh node Cylinder.174
16:21:42 | INFO: Blender create Mesh node Cylinder.172
16:21:42 | INFO: Blender create Mesh node AFT_StatusLens.015
16:21:42 | INFO: Blender create Mesh node AFT_StatusLens.013
16:21:42 | INFO: Blender create Mesh node AFT_StatusLens.011
16:21:42 | INFO: Blender create Mesh node AFT_StatusLens.009
16:21:42 | INFO: Blender create Mesh node Cube.473
16:21:42 | INFO: Blender create Mesh node FIELD_LinkRadome.008
16:21:42 | INFO: Blender create Mesh node FIELD_LinkRadome.006
16:21:42 | INFO: Blender create Mesh node Cube.471
16:21:42 | INFO: Blender create Mesh node Cube.469
16:21:42 | INFO: Blender create Mesh node Cube.467
16:21:42 | INFO: Blender create Mesh node Cube.465
16:21:42 | INFO: Blender create Mesh node Cube.463
16:21:42 | INFO: Blender create Mesh node Cube.461
16:21:42 | INFO: Blender create Mesh node Cube.459
16:21:42 | INFO: Blender create Mesh node Cube.457
16:21:42 | INFO: Blender create Mesh node Cube.455
16:21:42 | INFO: Blender create Mesh node Cube.453
16:21:42 | INFO: Blender create Mesh node Cube.451
16:21:42 | INFO: Blender create Mesh node Cube.449
16:21:42 | INFO: Blender create Mesh node Cube.443
16:21:42 | INFO: Blender create Mesh node Cube.441
16:21:42 | INFO: Blender create Mesh node Cube.447
16:21:42 | INFO: Blender create Mesh node Cube.445
16:21:42 | INFO: Blender create Mesh node GEAR_FixedSocket_1.008
16:21:42 | INFO: Blender create Mesh node GEAR_FixedSocket_1.006
16:21:42 | INFO: Blender create Mesh node GEAR_FixedSocket_-1.008
16:21:42 | INFO: Blender create Mesh node GEAR_FixedSocket_-1.006
16:21:42 | INFO: Blender create Mesh node Cube.435
16:21:42 | INFO: Blender create Mesh node Cube.433
16:21:42 | INFO: Blender create Mesh node Cube.439
16:21:42 | INFO: Blender create Mesh node Cube.437
16:21:42 | INFO: Blender create Mesh node Cube.419
16:21:42 | INFO: Blender create Mesh node Cube.417
16:21:42 | INFO: Blender create Mesh node Cube.423
16:21:42 | INFO: Blender create Mesh node Cube.421
16:21:42 | INFO: Blender create Mesh node Cube.427
16:21:42 | INFO: Blender create Mesh node Cube.425
16:21:42 | INFO: Blender create Mesh node Cube.431
16:21:42 | INFO: Blender create Mesh node Cube.429
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_0.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_0.006
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_1.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_1.006
16:21:42 | INFO: Blender create Mesh node Cylinder.166
16:21:42 | INFO: Blender create Mesh node Cylinder.164
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_0.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_0.006
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_1.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_1.006
16:21:42 | INFO: Blender create Mesh node Cylinder.170
16:21:42 | INFO: Blender create Mesh node Cylinder.168
16:21:42 | INFO: Blender create Mesh node H01_ContinuousLiftingBody_Mesh.005
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.030
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.028
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.026
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.024
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.022
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.020
16:21:42 | INFO: Blender create Mesh node Cube.415
16:21:42 | INFO: Blender create Mesh node Cube.413
16:21:42 | INFO: Blender create Mesh node Cube.411
16:21:42 | INFO: Blender create Mesh node Cube.409
16:21:42 | INFO: Blender create Mesh node H06_NoseChamfer.005
16:21:42 | INFO: Blender create Mesh node H07_ShoulderJoint.005
16:21:42 | INFO: Blender create Mesh node I01_ShoulderIntake_Bezel.005
16:21:42 | INFO: Blender create Mesh node I01_ShoulderIntake_Interior_Mesh.005
16:21:42 | INFO: Blender create Mesh node P01_IntakeCowl.005
