00:00.562  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\carrier-v29-proposal\carrier-v29-proposal.blend"
07:30:47 | INFO: Data are loaded, start creating Blender stuff
07:30:47 | INFO: Blender create Mesh node Aft_avionics_streamlined_spine
07:30:47 | INFO: Blender create Mesh node Aft_control_window
07:30:47 | INFO: Blender create Mesh node Aft_control_window.001
07:30:47 | INFO: Blender create Mesh node Aft_control_window.002
07:30:47 | INFO: Blender create Mesh node Aft_control_window.003
07:30:47 | INFO: Blender create Mesh node Aft_control_window.004
07:30:47 | INFO: Blender create Mesh node Aft_control_window.005
07:30:47 | INFO: Blender create Mesh node Aft_control_window.006
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.001
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.002
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.003
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.004
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.005
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.006
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.007
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.008
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.009
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.010
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.011
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.012
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.013
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.014
07:30:47 | INFO: Blender create Mesh node Aft_maintenance_stencil.015
07:30:47 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct
07:30:47 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct.001
07:30:47 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct.002
07:30:47 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct.003
07:30:47 | INFO: Blender create Mesh node Bay_0_aft_service_bulkhead
07:30:47 | INFO: Blender create Mesh node Bay_0_internal_floor
07:30:47 | INFO: Blender create Mesh node Bay_1_aft_service_bulkhead
07:30:47 | INFO: Blender create Mesh node Bay_1_internal_floor
07:30:47 | INFO: Blender create Mesh node Bay_docking_rail
07:30:47 | INFO: Blender create Mesh node Bay_docking_rail.001
07:30:47 | INFO: Blender create Mesh node Bay_docking_rail.002
07:30:47 | INFO: Blender create Mesh node Bay_docking_rail.003
07:30:47 | INFO: Blender create Mesh node Bay_recessed_guidance
07:30:47 | INFO: Blender create Mesh node Bay_recessed_guidance.001
07:30:47 | INFO: Blender create Mesh node Bay_recessed_guidance.002
07:30:47 | INFO: Blender create Mesh node Bay_recessed_guidance.003
07:30:47 | INFO: Blender create Mesh node Bay_service_console
07:30:47 | INFO: Blender create Mesh node Bay_service_console.001
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.001
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.002
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.003
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.004
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.005
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.006
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.007
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.008
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.009
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.010
07:30:47 | INFO: Blender create Mesh node Bay_threshold_service_mark.011
07:30:47 | INFO: Blender create Mesh node Bridge_hatch_lock
07:30:47 | INFO: Blender create Mesh node Bridge_hatch_lock.001
07:30:47 | INFO: Blender create Mesh node Bridge_hatch_lock.002
07:30:47 | INFO: Blender create Mesh node Bridge_hatch_lock.003
07:30:47 | INFO: Blender create Mesh node Bridge_individual_glazing_recess
07:30:47 | INFO: Blender create Mesh node Bridge_individual_glazing_recess.001
07:30:47 | INFO: Blender create Mesh node Bridge_individual_glazing_recess.002
07:30:47 | INFO: Blender create Mesh node Bridge_individual_glazing_recess.003
07:30:48 | INFO: Blender create Mesh node Bridge_individual_glazing_recess.004
07:30:48 | INFO: Blender create Mesh node Bridge_individual_glazing_recess.005
07:30:48 | INFO: Blender create Mesh node Bridge_individual_glazing_recess.006
