00:00.688  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\supply-carrier-v24\models\chunkbuster\chunkbuster.blend"
INFO Draco is available, use library at C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\work\blender-portable\blender-5.2.0-windows-x64\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_draco_bridge.dll
INFO MeshOptimizer is available, use library at C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\work\blender-portable\blender-5.2.0-windows-x64\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_meshopt_bridge.dll
14:54:55 | INFO: Starting glTF 2.0 export
14:54:55 | INFO: Extracting primitive: Cube.090
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.093
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.089
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.097
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.096
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.091
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.092
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.094
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.095
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BayShutter.005
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BayShutter.006
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BayShutter.007
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BayShutter.008
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BayShutter.009
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.056
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BellyOpticInnerRing.001
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BellyOpticIsolation.001
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: BellyOpticOuterBezel.001
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.057
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: CarrierContinuousBlendedWing.001
14:54:55 | INFO: Primitives created: 2
14:54:55 | INFO: Extracting primitive: Cylinder.085
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.084
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.083
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.082
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.081
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.080
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_CassetteGasket.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_CassetteGasket.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.079
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.078
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_FastenerSlot.011
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_FastenerSlot.010
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_FastenerSlot.009
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_FastenerSlot.008
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_FastenerSlot.007
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_FastenerSlot.006
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_00.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_00.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_01.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_01.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_02.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_02.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_03.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_03.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_04.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_04.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_05.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_HeatExchangerThroat_05.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_00.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_00.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_01.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_01.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_02.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_02.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_03.003
